Transaction_ID,Region,Country,Product_Line,Revenue,Marketing_Expense ,Profit,Quarter,Date,Channel,Age,,,,,
350264,Oceania,UK,iPad,8852289,150505,30%,Q4,16-01-2025,Online,33,,,,,
534212,North America,China,Wearables,9969909,424034,20%,Q4,31-10-2021,Online,20,,,,,
256318,North America,France,iPhone,62751,137363,20%,Q3,04-07-2020,E-Commerce,19,,,,,
917829,Africa,Australia,Wearables,3485452,467862,35%,Q4,28-09-2021,E-Commerce,29,,,,,
215569,Asia,China,Wearables,3649814,13399,35%,Q2,15-09-2023,Retail Partner,21,,,,,
440743,North America,Canada,iPhone,4882976,484526,25%,Q1,28-12-2024,Retail Partner,27,,,,,
493767,North America,France,Wearables,3840722,472350,35%,Q1,01-03-2022,Online,31,,,,,
187952,South America,Germany,Services,7562027,218250,30%,Q1,26-12-2021,Online,28,,,,,
698925,North America,Brazil,MacBook,8995605,89028,20%,Q3,03-11-2021,Online,31,,,,,
458153,South America,Australia,iPad,1620667,301013,20%,Q3,17-09-2020,Apple Store,29,,,,,
407067,North America,Australia,iPhone,7779233,470235,40%,Q2,07-10-2023,Apple Store,34,,,,,
758742,Oceania,Australia,MacBook,116967,74839,20%,Q4,28-09-2023,Offline,42,,,,,
619036,Africa,Germany,Services,9750176,174090,25%,Q4,28-08-2020,E-Commerce,34,,,,,
788418,Asia,Germany,Services,4564647,341790,40%,Q3,28-04-2023,E-Commerce,33,,,,,
317714,Europe,Germany,iPhone,5116085,117718,30%,Q2,01-02-2020,Apple Store,24,,,,,
627122,Europe,Germany,Wearables,8684580,136447,35%,Q3,04-07-2021,Apple Store,30,,,,,
183560,South America,Germany,iPad,8555585,177545,30%,Q3,07-08-2022,Retail Partner,39,,,,,
367973,Asia,Australia,Wearables,5536644,471858,30%,Q1,05-01-2024,Apple Store,40,,,,,
773395,Asia,Canada,iPhone,4177443,267721,35%,Q4,30-05-2022,Apple Store,29,,,,,
960763,Europe,India,iPad,9647229,268872,30%,Q3,05-12-2020,Offline,29,,,,,
222611,North America,Canada,iPhone,9248924,186689,30%,Q2,20-05-2024,Retail Partner,26,,,,,
153239,North America,India,iPad,7901353,362114,20%,Q2,08-12-2020,E-Commerce,27,,,,,
135576,Europe,China,Services,135906,454208,40%,Q4,30-08-2024,E-Commerce,28,,,,,
489581,North America,China,MacBook,5578215,121814,30%,Q1,06-01-2023,Online,27,,,,,
854102,North America,Germany,Wearables,6005519,292404,20%,Q3,06-02-2023,Apple Store,40,,,,,
630284,North America,Germany,Wearables,6713951,477991,30%,Q3,21-06-2024,Offline,29,,,,,
391665,South America,Germany,Services,1296497,483499,20%,Q1,03-08-2020,Retail Partner,26,,,,,
128981,Asia,China,iPhone,6976457,4392,40%,Q2,27-05-2021,Apple Store,31,,,,,
959317,Europe,USA,iPhone,3748198,408610,40%,Q3,18-05-2020,Offline,19,,,,,
135315,North America,France,Services,2663504,366385,30%,Q1,23-02-2020,Retail Partner,30,,,,,
318185,Asia,India,Wearables,8822855,151159,30%,Q2,11-06-2023,Retail Partner,18,,,,,
655464,Oceania,India,Wearables,5707097,392957,30%,Q1,29-08-2021,Offline,22,,,,,
275616,Africa,UK,iPad,3720408,40070,25%,Q2,08-12-2020,Retail Partner,43,,,,,
744818,Africa,Australia,iPad,9676619,287772,35%,Q3,17-07-2021,Online,27,,,,,
219980,Africa,France,Services,3487928,191594,20%,Q1,20-12-2021,Retail Partner,43,,,,,
306783,North America,China,iPhone,8359957,373462,40%,Q1,17-02-2021,E-Commerce,27,,,,,
293306,South America,Japan,iPhone,6061202,16651,20%,Q1,03-07-2024,Retail Partner,32,,,,,
384559,North America,Germany,iPad,3207214,114756,30%,Q1,01-07-2021,E-Commerce,25,,,,,
128605,Africa,France,iPad,2315822,403156,20%,Q4,24-11-2020,E-Commerce,29,,,,,
987321,Africa,France,Wearables,5341322,44808,20%,Q2,18-04-2020,Retail Partner,25,,,,,
838736,South America,Germany,Services,8156188,389159,20%,Q2,20-05-2021,E-Commerce,29,,,,,
439989,Oceania,Germany,Wearables,4859549,475646,30%,Q3,23-08-2022,Retail Partner,18,,,,,
652968,North America,Brazil,iPad,1532858,364190,40%,Q3,14-09-2021,Retail Partner,25,,,,,
862700,North America,India,MacBook,9915166,149097,25%,Q3,30-05-2023,Retail Partner,31,,,,,
484231,North America,USA,iPad,7162358,129474,20%,Q3,24-01-2024,Online,35,,,,,
160359,Africa,UK,Wearables,9548257,119163,25%,Q2,28-11-2020,Offline,33,,,,,
768895,North America,India,Wearables,2882806,126216,40%,Q2,16-09-2021,Offline,27,,,,,
236342,Oceania,USA,iPhone,4194135,210842,30%,Q4,04-05-2023,Offline,23,,,,,
598597,Africa,Brazil,MacBook,5856742,91930,30%,Q3,13-09-2023,Apple Store,20,,,,,
403872,South America,India,Wearables,2245757,49728,40%,Q4,25-06-2024,Apple Store,20,,,,,
532571,North America,Japan,iPad,5830569,190185,30%,Q2,11-08-2021,Retail Partner,34,,,,,
437313,Africa,Brazil,Wearables,5807630,334684,40%,Q1,06-10-2020,Online,23,,,,,
579972,Europe,Brazil,iPhone,245586,326887,40%,Q2,20-04-2024,Apple Store,21,,,,,
194598,Oceania,Japan,Services,7387639,454669,35%,Q1,21-09-2023,Online,31,,,,,
471251,South America,Germany,iPhone,9343879,177128,35%,Q3,13-08-2024,E-Commerce,24,,,,,
470810,North America,Brazil,MacBook,3022287,352703,30%,Q4,19-05-2022,Retail Partner,29,,,,,
658590,Asia,Japan,Services,3233762,336017,30%,Q3,19-07-2020,Online,32,,,,,
693702,South America,UK,Services,8256316,489714,30%,Q2,26-03-2024,Retail Partner,37,,,,,
879164,South America,Japan,Wearables,1673641,166398,30%,Q2,03-06-2021,Online,24,,,,,
517427,Asia,France,iPad,3340952,110822,20%,Q1,29-06-2022,Online,30,,,,,
323882,South America,China,iPhone,1651786,334127,40%,Q2,10-06-2021,Online,29,,,,,
468568,South America,France,iPad,2861344,182739,20%,Q1,04-12-2023,E-Commerce,25,,,,,
778060,South America,Germany,MacBook,9431973,470769,30%,Q3,16-09-2023,Retail Partner,39,,,,,
527992,Oceania,India,Wearables,4519129,422122,25%,Q3,04-05-2020,Offline,43,,,,,
839244,North America,Germany,Wearables,9458127,441881,40%,Q1,19-08-2024,E-Commerce,29,,,,,
113303,North America,Canada,Services,9165934,122261,20%,Q2,05-01-2022,E-Commerce,27,,,,,
408075,Africa,USA,Services,2605643,14004,30%,Q1,28-12-2022,Apple Store,45,,,,,
855784,North America,Brazil,iPhone,3785450,181585,30%,Q3,17-10-2020,Apple Store,24,,,,,
273642,Africa,France,Services,54023,252145,20%,Q3,08-08-2020,Online,34,,,,,
650761,Europe,Germany,iPhone,4227435,29718,20%,Q4,01-12-2024,E-Commerce,34,,,,,
346802,South America,UK,MacBook,8125871,250305,30%,Q4,16-04-2022,Offline,38,,,,,
813600,Africa,Japan,iPhone,4506708,2699,20%,Q2,03-11-2024,E-Commerce,25,,,,,
330311,Asia,France,Wearables,5304357,224248,35%,Q1,13-08-2023,Apple Store,43,,,,,
549037,Europe,France,Services,1278368,463376,20%,Q1,29-09-2024,E-Commerce,30,,,,,
296772,Africa,Brazil,Wearables,7885263,387241,40%,Q4,21-06-2021,Retail Partner,27,,,,,
280682,South America,UK,iPhone,8445909,233145,40%,Q2,07-09-2021,E-Commerce,19,,,,,
323263,Asia,USA,iPad,1489050,424182,40%,Q4,20-12-2022,Online,32,,,,,
267458,Oceania,Japan,MacBook,5304721,260610,25%,Q3,06-02-2022,E-Commerce,24,,,,,
731767,Europe,Brazil,MacBook,7300045,350390,20%,Q2,09-11-2024,Online,26,,,,,
598651,Oceania,Canada,iPad,616581,364376,20%,Q1,04-01-2024,Offline,30,,,,,
277818,Europe,China,MacBook,2093300,50053,40%,Q4,03-12-2024,Apple Store,33,,,,,
184628,Asia,UK,MacBook,7434926,197420,30%,Q2,10-06-2022,Online,22,,,,,
161030,North America,China,iPhone,526142,92484,20%,Q2,19-12-2024,E-Commerce,30,,,,,
969031,Europe,Germany,MacBook,2233044,409833,20%,Q2,26-07-2024,Offline,37,,,,,
806973,Africa,Australia,iPhone,9609490,499783,25%,Q1,29-08-2022,Online,24,,,,,
240054,Europe,China,iPhone,1148998,81832,40%,Q4,25-05-2024,Retail Partner,28,,,,,
212458,South America,Canada,iPhone,2087666,365176,30%,Q2,18-07-2024,Retail Partner,21,,,,,
843252,South America,Brazil,iPhone,9382898,192514,20%,Q1,20-01-2021,Retail Partner,21,,,,,
195340,Oceania,Germany,Wearables,7812359,206851,30%,Q3,24-03-2024,Online,24,,,,,
604866,Europe,India,iPad,9564352,290955,40%,Q4,28-03-2022,E-Commerce,32,,,,,
862102,North America,France,MacBook,2471185,375296,30%,Q4,13-03-2024,Online,20,,,,,
582515,Africa,Brazil,iPhone,1005907,19915,20%,Q3,29-08-2023,Offline,31,,,,,
282177,South America,France,MacBook,1910077,47641,40%,Q2,30-09-2022,E-Commerce,22,,,,,
854345,South America,Germany,Services,7929556,81689,40%,Q3,28-09-2024,Apple Store,44,,,,,
770680,South America,USA,MacBook,2109464,459632,20%,Q2,26-08-2022,Offline,50,,,,,
413766,North America,Japan,Services,5139176,162353,25%,Q1,20-04-2024,Online,31,,,,,
461608,Europe,USA,iPhone,7569606,14948,25%,Q2,22-01-2024,Offline,22,,,,,
607388,South America,Brazil,Wearables,8519710,226866,35%,Q2,08-03-2022,Apple Store,19,,,,,
684629,North America,UK,iPhone,6910864,487750,30%,Q1,28-11-2023,Offline,32,,,,,
388200,Africa,Brazil,Services,7030053,326436,20%,Q1,23-03-2023,Offline,50,,,,,
607063,Europe,Brazil,Services,3901124,142541,35%,Q4,11-06-2020,E-Commerce,26,,,,,
930339,Africa,Canada,MacBook,9966797,326636,40%,Q2,26-01-2023,Offline,28,,,,,
670220,North America,Germany,Services,4649720,477784,40%,Q4,09-04-2020,Retail Partner,37,,,,,
802286,Oceania,Canada,Wearables,8203581,484192,40%,Q4,28-12-2021,Offline,27,,,,,
765289,Africa,Canada,iPhone,3514729,1182,20%,Q2,31-07-2021,E-Commerce,31,,,,,
236808,North America,Australia,MacBook,7706693,13597,30%,Q4,31-05-2024,Offline,38,,,,,
167594,Asia,Germany,iPhone,7983439,403611,30%,Q1,21-12-2023,Retail Partner,20,,,,,
637035,North America,UK,iPhone,3182962,265567,20%,Q3,19-08-2024,Apple Store,24,,,,,
249311,South America,Japan,MacBook,6524649,344743,40%,Q3,30-08-2023,Apple Store,31,,,,,
731645,North America,India,MacBook,8372102,461674,40%,Q4,21-03-2024,Offline,23,,,,,
869668,North America,Japan,Wearables,3106272,71104,20%,Q1,07-08-2020,Retail Partner,25,,,,,
404494,South America,France,MacBook,7757442,444784,30%,Q1,06-04-2022,Apple Store,26,,,,,
616817,North America,Australia,MacBook,1122999,59140,30%,Q2,18-03-2023,Offline,28,,,,,
518486,North America,Brazil,MacBook,6083441,11910,30%,Q4,29-04-2020,Retail Partner,21,,,,,
924960,Europe,Japan,Services,2204702,344535,40%,Q3,16-11-2020,Offline,26,,,,,
607498,North America,India,MacBook,1497883,222738,25%,Q4,17-12-2021,Apple Store,27,,,,,
860455,North America,France,Wearables,9098701,97158,20%,Q3,04-04-2023,Retail Partner,33,,,,,
858657,South America,USA,iPhone,5668825,353183,35%,Q4,13-04-2020,E-Commerce,29,,,,,
275514,North America,Brazil,Services,7837492,436245,40%,Q2,15-01-2025,Offline,42,,,,,
232080,North America,India,iPhone,9509481,398631,40%,Q3,28-12-2024,Apple Store,27,,,,,
504152,Oceania,France,MacBook,5778624,370174,40%,Q4,07-01-2024,Retail Partner,27,,,,,
126476,Oceania,China,Services,5904622,191353,20%,Q2,08-07-2020,Apple Store,45,,,,,
410586,South America,USA,iPad,5244364,39603,20%,Q2,29-04-2020,Online,28,,,,,
794785,South America,Japan,iPhone,1298636,477364,20%,Q3,24-11-2021,Offline,26,,,,,
971454,North America,India,MacBook,8919203,135808,25%,Q1,02-06-2021,E-Commerce,25,,,,,
280135,South America,China,iPhone,7218796,53072,40%,Q1,07-05-2022,Offline,20,,,,,
811123,Asia,USA,iPhone,4810452,442040,40%,Q3,06-05-2020,Retail Partner,30,,,,,
808672,North America,Japan,MacBook,1745493,51862,25%,Q4,14-11-2023,Apple Store,28,,,,,
518777,South America,Germany,Wearables,6516985,399525,40%,Q1,03-06-2024,Retail Partner,18,,,,,
231866,Oceania,UK,Services,8997080,377637,25%,Q4,20-03-2020,Apple Store,26,,,,,
947059,North America,UK,iPhone,5943811,374746,40%,Q4,18-11-2023,Online,32,,,,,
565999,Europe,Canada,Wearables,5546398,295476,30%,Q4,05-01-2021,Apple Store,28,,,,,
630113,Oceania,UK,Wearables,3732519,159000,35%,Q3,30-09-2024,Offline,31,,,,,
476928,North America,UK,Wearables,3854814,166231,25%,Q3,27-05-2023,Apple Store,27,,,,,
779892,Asia,Germany,iPad,7493800,254808,20%,Q3,18-09-2020,Retail Partner,44,,,,,
887803,Oceania,UK,iPhone,1251770,310965,20%,Q2,28-10-2020,Retail Partner,20,,,,,
728331,Africa,India,Services,2723923,25412,30%,Q1,18-06-2023,Apple Store,47,,,,,
285505,North America,China,iPad,5242710,396025,30%,Q1,19-05-2021,E-Commerce,32,,,,,
967066,South America,Brazil,iPad,7491017,375947,30%,Q1,12-05-2022,Apple Store,27,,,,,
725633,Oceania,UK,iPhone,5246061,31707,30%,Q3,26-09-2021,E-Commerce,27,,,,,
298621,Oceania,USA,MacBook,7037713,380351,30%,Q4,23-11-2020,Online,20,,,,,
705871,Africa,India,iPhone,542840,308748,30%,Q4,07-09-2024,Online,28,,,,,
549742,North America,India,MacBook,7580300,382863,20%,Q3,04-03-2023,E-Commerce,31,,,,,
394301,North America,UK,MacBook,6609298,466098,30%,Q4,30-11-2020,Online,28,,,,,
647234,South America,Japan,Wearables,2646832,149133,40%,Q3,10-07-2020,Online,19,,,,,
890795,Africa,India,MacBook,5151263,183224,40%,Q4,13-04-2023,Offline,24,,,,,
388783,Oceania,India,Wearables,1046183,343900,40%,Q1,02-02-2022,Offline,24,,,,,
284139,Africa,Canada,Wearables,6712971,386725,30%,Q2,26-03-2023,Apple Store,45,,,,,
869852,Europe,Japan,iPhone,5533302,270708,30%,Q1,16-09-2022,Retail Partner,23,,,,,
948032,North America,France,Services,1329632,471231,25%,Q2,09-05-2023,E-Commerce,26,,,,,
225147,Africa,Japan,Wearables,9922152,51149,30%,Q4,03-06-2023,Retail Partner,43,,,,,
519591,North America,Canada,Wearables,1138187,106362,20%,Q3,11-01-2023,Online,21,,,,,
572242,Africa,Australia,iPhone,272396,474599,20%,Q3,18-11-2021,Apple Store,31,,,,,
990347,North America,Canada,Services,7772918,353395,25%,Q1,23-06-2023,Retail Partner,34,,,,,
369392,Asia,Brazil,MacBook,3531288,432890,35%,Q1,30-05-2022,Online,27,,,,,
400972,North America,India,iPhone,5218553,253105,35%,Q3,04-05-2023,Retail Partner,29,,,,,
637420,Asia,France,Services,4989726,157502,20%,Q1,18-02-2024,E-Commerce,33,,,,,
519705,Europe,France,MacBook,5053308,335416,30%,Q2,29-03-2020,Online,23,,,,,
605577,North America,India,MacBook,7961969,234367,30%,Q3,26-02-2023,Online,35,,,,,
612060,Europe,Canada,MacBook,5244898,60165,20%,Q4,23-07-2023,Online,31,,,,,
853050,North America,USA,MacBook,3717848,395285,20%,Q2,14-09-2022,Offline,21,,,,,
975860,Europe,France,Wearables,8074417,357227,25%,Q1,30-06-2020,Offline,20,,,,,
324227,Africa,France,MacBook,1791432,303055,20%,Q1,02-03-2020,Apple Store,23,,,,,
954446,North America,Germany,Wearables,6379616,275216,40%,Q2,09-12-2020,E-Commerce,25,,,,,
867512,Asia,India,iPhone,229436,91463,20%,Q2,02-09-2022,Retail Partner,26,,,,,
660301,Asia,France,Services,7919549,200949,30%,Q1,18-02-2024,Retail Partner,42,,,,,
715515,North America,USA,Services,2563528,105495,30%,Q1,14-09-2022,Online,25,,,,,
495783,Africa,China,MacBook,6392400,431092,30%,Q2,24-01-2021,Apple Store,41,,,,,
722301,Oceania,France,iPhone,2831792,216116,30%,Q3,23-01-2025,Retail Partner,31,,,,,
482062,North America,India,Services,7236561,116115,20%,Q3,18-10-2022,Online,27,,,,,
145277,South America,Brazil,Wearables,1037618,162343,40%,Q1,16-08-2022,Online,22,,,,,
754672,North America,USA,MacBook,5102734,150761,40%,Q2,03-03-2021,Offline,47,,,,,
386293,Europe,USA,Wearables,6529467,142265,30%,Q3,01-08-2021,Offline,39,,,,,
460028,Asia,France,iPad,261224,121511,40%,Q2,09-11-2020,Retail Partner,28,,,,,
163222,North America,India,Services,9350122,125024,20%,Q4,14-12-2022,Offline,35,,,,,
383393,Asia,Canada,Wearables,1949424,364863,40%,Q1,06-11-2024,E-Commerce,20,,,,,
921712,South America,India,iPad,6493198,81406,20%,Q1,18-12-2020,Offline,44,,,,,
391914,South America,Canada,iPhone,1769410,277385,25%,Q4,19-08-2024,Retail Partner,31,,,,,
938016,Asia,Brazil,Wearables,8437316,266637,40%,Q4,16-05-2020,Offline,36,,,,,
701396,Oceania,Brazil,iPhone,9960385,60430,35%,Q2,26-04-2023,Online,21,,,,,
206433,South America,Brazil,Services,36633,447441,40%,Q1,24-01-2024,Apple Store,40,,,,,
570764,South America,India,MacBook,9468265,370477,30%,Q3,14-10-2022,E-Commerce,22,,,,,
617580,Asia,India,Services,8309982,59488,30%,Q3,08-06-2022,Apple Store,50,,,,,
882768,Oceania,Brazil,iPhone,3235081,298115,40%,Q1,22-09-2020,Offline,28,,,,,
111881,Asia,China,MacBook,7178377,114817,40%,Q2,03-09-2022,Retail Partner,49,,,,,
145786,North America,Australia,iPad,9118446,14615,20%,Q2,30-06-2022,Online,29,,,,,
101325,Africa,Brazil,Wearables,7474159,443294,35%,Q2,03-12-2021,Offline,45,,,,,
453289,North America,France,iPhone,5314194,393055,20%,Q4,12-06-2020,Offline,26,,,,,
192208,North America,Australia,iPad,6077485,430292,25%,Q1,16-06-2022,E-Commerce,33,,,,,
636819,Oceania,Japan,iPad,3383530,94632,40%,Q4,10-02-2022,Retail Partner,30,,,,,
623594,Oceania,China,iPad,8315681,74797,40%,Q1,14-12-2021,Online,34,,,,,
163583,Oceania,Germany,MacBook,2034577,41020,30%,Q3,04-09-2020,Apple Store,28,,,,,
866015,South America,UK,Wearables,5771044,321217,30%,Q4,15-10-2023,Retail Partner,33,,,,,
611972,Oceania,Canada,iPad,5091915,176586,30%,Q3,09-12-2022,Apple Store,35,,,,,
856411,North America,Australia,MacBook,685195,48490,20%,Q4,17-05-2022,Online,35,,,,,
596812,Oceania,Brazil,Wearables,5992338,237039,40%,Q1,07-07-2020,Retail Partner,22,,,,,
770570,Africa,Germany,MacBook,5874635,164236,25%,Q1,09-08-2020,Apple Store,50,,,,,
575577,Africa,France,MacBook,967027,221473,35%,Q4,22-05-2024,Apple Store,27,,,,,
156170,North America,Germany,Wearables,215095,377315,25%,Q2,16-11-2020,Apple Store,37,,,,,
518962,South America,UK,Services,7509774,285934,35%,Q3,04-09-2021,Online,30,,,,,
815978,Africa,Brazil,iPhone,7928742,399507,35%,Q4,25-04-2022,E-Commerce,23,,,,,
680878,Oceania,UK,Wearables,7451822,8481,25%,Q3,17-05-2024,Retail Partner,45,,,,,
758960,Asia,Brazil,iPad,3376378,487899,35%,Q1,23-12-2021,Online,30,,,,,
151496,South America,Canada,iPhone,5125259,345593,35%,Q4,05-01-2025,Retail Partner,29,,,,,
717879,Oceania,France,iPhone,8868549,219002,20%,Q2,24-06-2024,Apple Store,20,,,,,
516476,South America,UK,Services,5373153,70969,20%,Q4,18-10-2020,Online,29,,,,,
843942,North America,Japan,iPhone,9392786,86856,30%,Q2,27-09-2022,E-Commerce,23,,,,,
831529,Asia,Canada,iPad,1583286,267747,30%,Q2,02-04-2021,Retail Partner,26,,,,,
127236,Africa,China,iPhone,6900200,162823,30%,Q4,25-11-2024,E-Commerce,30,,,,,
506089,Oceania,Canada,iPad,2747577,215560,35%,Q2,01-11-2022,Offline,43,,,,,
166242,North America,India,Services,5525923,7787,20%,Q4,29-08-2022,Online,25,,,,,
241839,Africa,Australia,Services,4759760,218880,40%,Q1,08-03-2024,E-Commerce,31,,,,,
413346,Africa,Japan,Services,4860299,167945,40%,Q1,08-11-2020,Retail Partner,45,,,,,
966094,Asia,Brazil,iPhone,2425485,207351,40%,Q4,19-12-2023,Apple Store,19,,,,,
174050,North America,USA,Wearables,292120,100885,30%,Q2,16-05-2022,Offline,33,,,,,
943584,North America,China,iPhone,15948,175187,30%,Q2,01-08-2020,Online,20,,,,,
504894,Asia,Brazil,iPad,7773968,24760,40%,Q2,07-12-2024,Retail Partner,39,,,,,
277632,South America,India,iPad,2115963,209972,25%,Q1,30-11-2024,Online,29,,,,,
922165,Asia,Canada,MacBook,8392215,22501,40%,Q1,25-02-2021,Retail Partner,46,,,,,
685013,Europe,Japan,MacBook,595748,173167,30%,Q3,14-10-2022,Online,35,,,,,
114414,Africa,Germany,iPhone,1180998,36992,40%,Q1,10-08-2023,Online,23,,,,,
337296,North America,USA,Wearables,8073183,104873,20%,Q4,19-08-2023,Apple Store,30,,,,,
139502,Asia,Germany,Wearables,8515550,454900,20%,Q2,10-05-2023,Offline,40,,,,,
576220,Oceania,Canada,iPad,4922682,2243,25%,Q2,17-08-2024,Offline,28,,,,,
418722,Africa,Brazil,iPad,7861598,150636,40%,Q4,20-05-2020,Online,35,,,,,
871447,North America,UK,iPhone,2593323,349356,20%,Q3,18-09-2023,Retail Partner,28,,,,,
221304,North America,China,iPad,5101401,198258,40%,Q1,12-06-2024,Online,30,,,,,
612965,Oceania,Germany,Wearables,1083398,301534,40%,Q3,07-10-2022,Online,29,,,,,
122706,Asia,Germany,iPhone,5750468,279410,40%,Q1,03-11-2024,Apple Store,31,,,,,
402815,South America,France,MacBook,1567569,40203,20%,Q2,02-04-2023,Online,30,,,,,
867969,South America,France,Services,1367614,329946,20%,Q1,29-01-2023,Offline,46,,,,,
363054,North America,Japan,iPhone,4870755,35908,40%,Q3,28-04-2024,Online,29,,,,,
826514,Africa,Japan,MacBook,2864831,199458,25%,Q4,17-08-2024,Online,34,,,,,
460006,Europe,India,MacBook,729849,109362,25%,Q2,03-03-2023,E-Commerce,32,,,,,
522154,North America,UK,MacBook,9303827,407682,20%,Q3,18-06-2023,Apple Store,41,,,,,
615228,North America,India,iPhone,2668665,319790,30%,Q1,15-07-2023,Apple Store,22,,,,,
614661,Asia,Germany,Services,6526676,248010,40%,Q2,19-02-2024,Apple Store,47,,,,,
195325,North America,India,iPhone,3222789,393710,20%,Q1,16-01-2021,Offline,22,,,,,
691837,Oceania,Brazil,MacBook,9271251,235032,25%,Q2,02-02-2021,Retail Partner,48,,,,,
507002,Africa,UK,Wearables,3313046,139585,40%,Q4,21-02-2020,E-Commerce,19,,,,,
664982,Oceania,USA,MacBook,3381337,284822,35%,Q4,17-03-2022,E-Commerce,35,,,,,
752085,Africa,Australia,Wearables,8158611,48171,40%,Q4,02-06-2020,Apple Store,34,,,,,
324313,Africa,Germany,iPhone,4846842,493113,35%,Q2,30-08-2020,E-Commerce,29,,,,,
384776,North America,Brazil,iPad,731121,344008,30%,Q1,18-02-2020,E-Commerce,33,,,,,
548075,North America,India,Services,8345549,175418,40%,Q4,15-12-2024,Offline,43,,,,,
376425,Europe,France,Wearables,6870748,462535,30%,Q2,14-11-2023,Offline,20,,,,,
496749,Asia,UK,iPhone,9616831,22952,40%,Q3,17-07-2021,Online,27,,,,,
523428,North America,India,iPad,7053839,249577,25%,Q1,30-11-2021,Online,30,,,,,
659212,Africa,France,iPad,3447709,251193,20%,Q2,31-08-2020,Online,27,,,,,
460622,Africa,Canada,iPhone,28778,417964,30%,Q1,08-01-2021,Apple Store,26,,,,,
642140,South America,Australia,Services,5057748,179459,30%,Q2,19-10-2024,Apple Store,37,,,,,
350708,Europe,Australia,iPad,8387049,400450,20%,Q1,25-04-2024,Offline,36,,,,,
537891,North America,Brazil,MacBook,7288511,299934,30%,Q2,07-12-2021,E-Commerce,20,,,,,
878162,North America,France,iPhone,5045697,450566,35%,Q3,17-07-2022,Online,27,,,,,
709252,South America,UK,Services,8321098,216241,30%,Q2,02-08-2023,Apple Store,30,,,,,
